Group,Epoch,Subject,Frequency (Hz),Coherence
Males PRE,Pre-bout (t<0),M506,4.2891,0.1306
Males PRE,Pre-bout (t<0),M506,4.5414,0.0737
Males PRE,Pre-bout (t<0),M506,4.7937,0.005
Males PRE,Post-bout (0–10s),M503,0.2523,0.2621
Males PRE,Post-bout (0–10s),M503,0.5046,0.4376
Males PRE,Post-bout (0–10s),M503,0.7569,0.613
Males PRE,Post-bout (0–10s),M503,1.0092,0.4986
Males PRE,Post-bout (0–10s),M503,1.2615,0.4785
Males PRE,Post-bout (0–10s),M503,1.5138,0.4402
Males PRE,Post-bout (0–10s),M503,1.7661,0.365
Males PRE,Post-bout (0–10s),M503,2.0184,0.2472
Males PRE,Post-bout (0–10s),M503,2.2707,0.0094
Males PRE,Post-bout (0–10s),M503,2.523,0.0486
Males PRE,Post-bout (0–10s),M503,2.7753,0.027
Males PRE,Post-bout (0–10s),M503,3.0276,0.0068
Males PRE,Post-bout (0–10s),M503,3.2799,0.1217
Males PRE,Post-bout (0–10s),M503,3.5322,0.3957
Males PRE,Post-bout (0–10s),M503,3.7845,0.5047
Males PRE,Post-bout (0–10s),M503,4.0368,0.5576
Males PRE,Post-bout (0–10s),M503,4.2891,0.4108
Males PRE,Post-bout (0–10s),M503,4.5414,0.0537
Males PRE,Post-bout (0–10s),M503,4.7937,0.093
Males PRE,Post-bout (0–10s),M504,0.2523,0.8934
Males PRE,Post-bout (0–10s),M504,0.5046,0.6721
Males PRE,Post-bout (0–10s),M504,0.7569,0.3203
Males PRE,Post-bout (0–10s),M504,1.0092,0.191
Males PRE,Post-bout (0–10s),M504,1.2615,0.5894
Males PRE,Post-bout (0–10s),M504,1.5138,0.3409
Males PRE,Post-bout (0–10s),M504,1.7661,0.3338
Males PRE,Post-bout (0–10s),M504,2.0184,0.1516
Males PRE,Post-bout (0–10s),M504,2.2707,0.3196
Males PRE,Post-bout (0–10s),M504,2.523,0.2807
Males PRE,Post-bout (0–10s),M504,2.7753,0.1938
Males PRE,Post-bout (0–10s),M504,3.0276,0.3302
Males PRE,Post-bout (0–10s),M504,3.2799,0.065
Males PRE,Post-bout (0–10s),M504,3.5322,0.5555
Males PRE,Post-bout (0–10s),M504,3.7845,0.1636
Males PRE,Post-bout (0–10s),M504,4.0368,0.3335
Males PRE,Post-bout (0–10s),M504,4.2891,0.1006
Males PRE,Post-bout (0–10s),M504,4.5414,0.0026
Males PRE,Post-bout (0–10s),M504,4.7937,0.1401
Males PRE,Post-bout (0–10s),M502,0.2523,0.657
Males PRE,Post-bout (0–10s),M502,0.5046,0.813
Males PRE,Post-bout (0–10s),M502,0.7569,0.7891
Males PRE,Post-bout (0–10s),M502,1.0092,0.899
Males PRE,Post-bout (0–10s),M502,1.2615,0.0659
Males PRE,Post-bout (0–10s),M502,1.5138,0.2017
Males PRE,Post-bout (0–10s),M502,1.7661,0.4093
Males PRE,Post-bout (0–10s),M502,2.0184,0.4106
Males PRE,Post-bout (0–10s),M502,2.2707,0.1542
Males PRE,Post-bout (0–10s),M502,2.523,0.5048
Males PRE,Post-bout (0–10s),M502,2.7753,0.3421
Males PRE,Post-bout (0–10s),M502,3.0276,0.3416
Males PRE,Post-bout (0–10s),M502,3.2799,0.2771
Males PRE,Post-bout (0–10s),M502,3.5322,0.347
Males PRE,Post-bout (0–10s),M502,3.7845,0.5098
Males PRE,Post-bout (0–10s),M502,4.0368,0.0449
Males PRE,Post-bout (0–10s),M502,4.2891,0.3091
Males PRE,Post-bout (0–10s),M502,4.5414,0.3241
Males PRE,Post-bout (0–10s),M502,4.7937,0.0892
Males PRE,Post-bout (0–10s),M505,0.2523,0.3815
Males PRE,Post-bout (0–10s),M505,0.5046,0.2576
Males PRE,Post-bout (0–10s),M505,0.7569,0.1418
Males PRE,Post-bout (0–10s),M505,1.0092,0.5469
Males PRE,Post-bout (0–10s),M505,1.2615,0.0174
Males PRE,Post-bout (0–10s),M505,1.5138,0.1133
Males PRE,Post-bout (0–10s),M505,1.7661,0.0062
Males PRE,Post-bout (0–10s),M505,2.0184,0.198
Males PRE,Post-bout (0–10s),M505,2.2707,0.3494
Males PRE,Post-bout (0–10s),M505,2.523,0.3562
Males PRE,Post-bout (0–10s),M505,2.7753,0.309
Males PRE,Post-bout (0–10s),M505,3.0276,0.0344
Males PRE,Post-bout (0–10s),M505,3.2799,0.3091
Males PRE,Post-bout (0–10s),M505,3.5322,0.2575
Males PRE,Post-bout (0–10s),M505,3.7845,0.5132
Males PRE,Post-bout (0–10s),M505,4.0368,0.4054
Males PRE,Post-bout (0–10s),M505,4.2891,0.2358
Males PRE,Post-bout (0–10s),M505,4.5414,0.0995
Males PRE,Post-bout (0–10s),M505,4.7937,0.6874
Males PRE,Post-bout (0–10s),M506,0.2523,0.8461
Males PRE,Post-bout (0–10s),M506,0.5046,0.9619
Males PRE,Post-bout (0–10s),M506,0.7569,0.8279
Males PRE,Post-bout (0–10s),M506,1.0092,0.6933
Males PRE,Post-bout (0–10s),M506,1.2615,0.5569
Males PRE,Post-bout (0–10s),M506,1.5138,0.2079
Males PRE,Post-bout (0–10s),M506,1.7661,0.811
Males PRE,Post-bout (0–10s),M506,2.0184,0.1389
Males PRE,Post-bout (0–10s),M506,2.2707,0.5284
