Group,Subject,Frequency (Hz),Coherence
Males POST,M502,3.155,0.4128
Males POST,M502,3.2051,0.0125
Males POST,M502,3.2552,0.1539
Males POST,M502,3.3052,0.1374
Males POST,M502,3.3553,0.0421
Males POST,M502,3.4054,0.0859
Males POST,M502,3.4555,0.2961
Males POST,M502,3.5056,0.0644
Males POST,M502,3.5556,0.2756
Males POST,M502,3.6057,0.4316
Males POST,M502,3.6558,0.0742
Males POST,M502,3.7059,0.1916
Males POST,M502,3.756,0.2814
Males POST,M502,3.806,0.1375
Males POST,M502,3.8561,0.1895
Males POST,M502,3.9062,0.0553
Males POST,M502,3.9563,0.0637
Males POST,M502,4.0064,0.1816
Males POST,M502,4.0564,0.0703
Males POST,M502,4.1065,0.0988
Males POST,M502,4.1566,0.336
Males POST,M502,4.2067,0.4355
Males POST,M502,4.2567,0.0435
Males POST,M502,4.3068,0.4277
Males POST,M502,4.3569,0.2075
Males POST,M502,4.407,0.092
Males POST,M502,4.4571,0.3986
Males POST,M502,4.5071,0.1734
Males POST,M502,4.5572,0.2786
Males POST,M502,4.6073,0.0687
Males POST,M502,4.6574,0.0825
Males POST,M502,4.7075,0.2625
Males POST,M502,4.7575,0.3504
Males POST,M502,4.8076,0.1586
Males POST,M502,4.8577,0.0332
Males POST,M502,4.9078,0.263
Males POST,M502,4.9579,0.0632
Males POST,M505,0.0501,0.5892
Males POST,M505,0.1002,0.4373
Males POST,M505,0.1502,0.1569
Males POST,M505,0.2003,0.1146
Males POST,M505,0.2504,0.5938
Males POST,M505,0.3005,0.344
Males POST,M505,0.3506,0.0425
Males POST,M505,0.4006,0.4628
Males POST,M505,0.4507,0.0732
Males POST,M505,0.5008,0.2225
Males POST,M505,0.5509,0.2763
Males POST,M505,0.601,0.2012
Males POST,M505,0.651,0.1856
Males POST,M505,0.7011,0.3993
Males POST,M505,0.7512,0.5992
Males POST,M505,0.8013,0.6935
Males POST,M505,0.8513,0.0357
Males POST,M505,0.9014,0.1684
Males POST,M505,0.9515,0.3619
Males POST,M505,1.0016,0.1403
Males POST,M505,1.0517,0.0098
Males POST,M505,1.1017,0.0558
Males POST,M505,1.1518,0.3548
Males POST,M505,1.2019,0.571
Males POST,M505,1.252,0.0176
Males POST,M505,1.3021,0.4026
Males POST,M505,1.3521,0.3331
Males POST,M505,1.4022,0.2445
Males POST,M505,1.4523,0.3332
Males POST,M505,1.5024,0.0947
Males POST,M505,1.5525,0.0773
Males POST,M505,1.6025,0.0658
Males POST,M505,1.6526,0.0112
Males POST,M505,1.7027,0.0587
Males POST,M505,1.7528,0.0957
Males POST,M505,1.8029,0.5675
Males POST,M505,1.8529,0.163
Males POST,M505,1.903,0.3521
Males POST,M505,1.9531,0.4621
Males POST,M505,2.0032,0.4837
Males POST,M505,2.0533,0.0684
Males POST,M505,2.1033,0.0336
Males POST,M505,2.1534,0.0391
Males POST,M505,2.2035,0.3125
Males POST,M505,2.2536,0.0818
Males POST,M505,2.3037,0.7378
Males POST,M505,2.3537,0.027
Males POST,M505,2.4038,0.2414
Males POST,M505,2.4539,0.185
Males POST,M505,2.504,0.4288
Males POST,M505,2.554,0.2213
Males POST,M505,2.6041,0.0091
Males POST,M505,2.6542,0.1167
Males POST,M505,2.7043,0.0962
Males POST,M505,2.7544,0.174
Males POST,M505,2.8044,0.2003
Males POST,M505,2.8545,0.3579
Males POST,M505,2.9046,0.1133
Males POST,M505,2.9547,0.0608
Males POST,M505,3.0048,0.1175
Males POST,M505,3.0548,0.2106
Males POST,M505,3.1049,0.1444
Males POST,M505,3.155,0.0105
Males POST,M505,3.2051,0.4192
Males POST,M505,3.2552,0.0963
Males POST,M505,3.3052,0.3487
Males POST,M505,3.3553,0.4368
Males POST,M505,3.4054,0.0711
Males POST,M505,3.4555,0.1058
Males POST,M505,3.5056,0.2793
Males POST,M505,3.5556,0.1837
Males POST,M505,3.6057,0.4099
Males POST,M505,3.6558,0.2868
Males POST,M505,3.7059,0.2748
Males POST,M505,3.756,0.0218
Males POST,M505,3.806,0.2007
Males POST,M505,3.8561,0.142
Males POST,M505,3.9062,0.2095
Males POST,M505,3.9563,0.002
Males POST,M505,4.0064,0.0926
Males POST,M505,4.0564,0.1459
Males POST,M505,4.1065,0.1421
Males POST,M505,4.1566,0.2052
Males POST,M505,4.2067,0.3774
Males POST,M505,4.2567,0.1631
Males POST,M505,4.3068,0.0733
Males POST,M505,4.3569,0.2565
Males POST,M505,4.407,0.1518
Males POST,M505,4.4571,0.1895
Males POST,M505,4.5071,0.0022
Males POST,M505,4.5572,0.0954
Males POST,M505,4.6073,0.0442
Males POST,M505,4.6574,0.1384
Males POST,M505,4.7075,0.1153
Males POST,M505,4.7575,0.2385
Males POST,M505,4.8076,0.1358
Males POST,M505,4.8577,0.2687
Males POST,M505,4.9078,0.3231
Males POST,M505,4.9579,0.041
Males POST,M506,0.0501,0.735
Males POST,M506,0.1002,0.5045
Males POST,M506,0.1502,0.4951
Males POST,M506,0.2003,0.7075
Males POST,M506,0.2504,0.4754
Males POST,M506,0.3005,0.2605
Males POST,M506,0.3506,0.2012
Males POST,M506,0.4006,0.1616
Males POST,M506,0.4507,0.1424
Males POST,M506,0.5008,0.2615
Males POST,M506,0.5509,0.1265
Males POST,M506,0.601,0.1021
Males POST,M506,0.651,0.0586
Males POST,M506,0.7011,0.0128
Males POST,M506,0.7512,0.2909
Males POST,M506,0.8013,0.3649
Males POST,M506,0.8513,0.0512
Males POST,M506,0.9014,0.0728
Males POST,M506,0.9515,0.1275
Males POST,M506,1.0016,0.517
Males POST,M506,1.0517,0.436
Males POST,M506,1.1017,0.5137
Males POST,M506,1.1518,0.3996
Males POST,M506,1.2019,0.4921
Males POST,M506,1.252,0.2584
Males POST,M506,1.3021,0.2169
Males POST,M506,1.3521,0.1137
Males POST,M506,1.4022,0.0517
Males POST,M506,1.4523,0.0219
Males POST,M506,1.5024,0.0113
Males POST,M506,1.5525,0.0202
Males POST,M506,1.6025,0.049
Males POST,M506,1.6526,0.1735
Males POST,M506,1.7027,0.2511
Males POST,M506,1.7528,0.4469
Males POST,M506,1.8029,0.1138
Males POST,M506,1.8529,0.0745
Males POST,M506,1.903,0.2241
Males POST,M506,1.9531,0.7492
Males POST,M506,2.0032,0.4727
Males POST,M506,2.0533,0.0052
Males POST,M506,2.1033,0.1867
Males POST,M506,2.1534,0.3942
Males POST,M506,2.2035,0.0157
Males POST,M506,2.2536,0.1055
Males POST,M506,2.3037,0.1783
Males POST,M506,2.3537,0.0354
Males POST,M506,2.4038,0.0586
Males POST,M506,2.4539,0.0862
Males POST,M506,2.504,0.0898
Males POST,M506,2.554,0.0755
Males POST,M506,2.6041,0.1888
Males POST,M506,2.6542,0.0754
Males POST,M506,2.7043,0.3954
Males POST,M506,2.7544,0.2383
Males POST,M506,2.8044,0.2328
Males POST,M506,2.8545,0.0447
Males POST,M506,2.9046,0.1779
Males POST,M506,2.9547,0.1185
Males POST,M506,3.0048,0.0271
Males POST,M506,3.0548,0.3777
Males POST,M506,3.1049,0.5847
Males POST,M506,3.155,0.1272
Males POST,M506,3.2051,0.189
Males POST,M506,3.2552,0.2653
Males POST,M506,3.3052,0.1312
Males POST,M506,3.3553,0.3669
Males POST,M506,3.4054,0.1678
Males POST,M506,3.4555,0.0905
Males POST,M506,3.5056,0.1397
Males POST,M506,3.5556,0.0526
Males POST,M506,3.6057,0.2358
Males POST,M506,3.6558,0.322
Males POST,M506,3.7059,0.1186
Males POST,M506,3.756,0.1918
Males POST,M506,3.806,0.2009
Males POST,M506,3.8561,0.2009
Males POST,M506,3.9062,0.2685
Males POST,M506,3.9563,0.1965
Males POST,M506,4.0064,0.2933
Males POST,M506,4.0564,0.1375
Males POST,M506,4.1065,0.0511
Males POST,M506,4.1566,0.037
Males POST,M506,4.2067,0.2937
Males POST,M506,4.2567,0.2874
Males POST,M506,4.3068,0.2989
Males POST,M506,4.3569,0.3648
Males POST,M506,4.407,0.1668
Males POST,M506,4.4571,0.049
Males POST,M506,4.5071,0.4386
Males POST,M506,4.5572,0.7014
Males POST,M506,4.6073,0.3078
Males POST,M506,4.6574,0.0669
Males POST,M506,4.7075,0.4486
Males POST,M506,4.7575,0.0473
Males POST,M506,4.8076,0.321
Males POST,M506,4.8577,0.1124
Males POST,M506,4.9078,0.0357
Males POST,M506,4.9579,0.0542
Females PRE,M509,0.0501,0.6285
Females PRE,M509,0.1002,0.3921
Females PRE,M509,0.1502,0.5919
Females PRE,M509,0.2003,0.327
Females PRE,M509,0.2504,0.6252
Females PRE,M509,0.3005,0.4853
Females PRE,M509,0.3506,0.4989
Females PRE,M509,0.4006,0.5635
Females PRE,M509,0.4507,0.3468
Females PRE,M509,0.5008,0.5074
Females PRE,M509,0.5509,0.2718
Females PRE,M509,0.601,0.4941
Females PRE,M509,0.651,0.5734
Females PRE,M509,0.7011,0.2743
Females PRE,M509,0.7512,0.2453
Females PRE,M509,0.8013,0.0808
Females PRE,M509,0.8513,0.0194
Females PRE,M509,0.9014,0.2993
Females PRE,M509,0.9515,0.6285
Females PRE,M509,1.0016,0.5253
Females PRE,M509,1.0517,0.7902
Females PRE,M509,1.1017,0.1472
Females PRE,M509,1.1518,0.2343
Females PRE,M509,1.2019,0.1713
Females PRE,M509,1.252,0.5437
Females PRE,M509,1.3021,0.4803
Females PRE,M509,1.3521,0.5767
Females PRE,M509,1.4022,0.1682
Females PRE,M509,1.4523,0.7586
Females PRE,M509,1.5024,0.5695
Females PRE,M509,1.5525,0.2676
Females PRE,M509,1.6025,0.5856
Females PRE,M509,1.6526,0.2257
Females PRE,M509,1.7027,0.0294
Females PRE,M509,1.7528,0.089
Females PRE,M509,1.8029,0.1858
Females PRE,M509,1.8529,0.1202
Females PRE,M509,1.903,0.0461
Females PRE,M509,1.9531,0.1596
Females PRE,M509,2.0032,0.2151
Females PRE,M509,2.0533,0.4725
Females PRE,M509,2.1033,0.4988
Females PRE,M509,2.1534,0.3512
Females PRE,M509,2.2035,0.249
Females PRE,M509,2.2536,0.0182
Females PRE,M509,2.3037,0.2037
Females PRE,M509,2.3537,0.1523
Females PRE,M509,2.4038,0.221
Females PRE,M509,2.4539,0.2742
Females PRE,M509,2.504,0.3783
Females PRE,M509,2.554,0.0227
Females PRE,M509,2.6041,0.069
Females PRE,M509,2.6542,0.0379
Females PRE,M509,2.7043,0.0444
Females PRE,M509,2.7544,0.1367
Females PRE,M509,2.8044,0.0113
Females PRE,M509,2.8545,0.3171
Females PRE,M509,2.9046,0.7486
Females PRE,M509,2.9547,0.1279
Females PRE,M509,3.0048,0.2849
Females PRE,M509,3.0548,0.3391
Females PRE,M509,3.1049,0.372
Females PRE,M509,3.155,0.1041
Females PRE,M509,3.2051,0.0395
Females PRE,M509,3.2552,0.1601
Females PRE,M509,3.3052,0.1732
Females PRE,M509,3.3553,0.0097
Females PRE,M509,3.4054,0.208
Females PRE,M509,3.4555,0.06
Females PRE,M509,3.5056,0.2369
Females PRE,M509,3.5556,0.242
Females PRE,M509,3.6057,0.2089
Females PRE,M509,3.6558,0.1446
Females PRE,M509,3.7059,0.3051
Females PRE,M509,3.756,0.0275
Females PRE,M509,3.806,0.1647
Females PRE,M509,3.8561,0.1569
Females PRE,M509,3.9062,0.0098
Females PRE,M509,3.9563,0.2426
Females PRE,M509,4.0064,0.3141
Females PRE,M509,4.0564,0.0228
Females PRE,M509,4.1065,0.0588
Females PRE,M509,4.1566,0.1775
Females PRE,M509,4.2067,0.3222
Females PRE,M509,4.2567,0.2149
Females PRE,M509,4.3068,0.0353
Females PRE,M509,4.3569,0.3272
Females PRE,M509,4.407,0.5792
Females PRE,M509,4.4571,0.1674
Females PRE,M509,4.5071,0.2188
Females PRE,M509,4.5572,0.2084
Females PRE,M509,4.6073,0.0793
Females PRE,M509,4.6574,0.5791
Females PRE,M509,4.7075,0.1438
Females PRE,M509,4.7575,0.4319
Females PRE,M509,4.8076,0.4573
Females PRE,M509,4.8577,0.3687
Females PRE,M509,4.9078,0.2778
Females PRE,M509,4.9579,0.1608
Females PRE,M511,0.0501,0.7847
Females PRE,M511,0.1002,0.8094
Females PRE,M511,0.1502,0.5816
Females PRE,M511,0.2003,0.719
Females PRE,M511,0.2504,0.5655
Females PRE,M511,0.3005,0.5207
Females PRE,M511,0.3506,0.7328
Females PRE,M511,0.4006,0.3621
Females PRE,M511,0.4507,0.1849
Females PRE,M511,0.5008,0.074
Females PRE,M511,0.5509,0.2955
Females PRE,M511,0.601,0.3662
Females PRE,M511,0.651,0.4748
Females PRE,M511,0.7011,0.4986
Females PRE,M511,0.7512,0.4946
Females PRE,M511,0.8013,0.0018
Females PRE,M511,0.8513,0.2145
Females PRE,M511,0.9014,0.2986
Females PRE,M511,0.9515,0.1689
Females PRE,M511,1.0016,0.0298
Females PRE,M511,1.0517,0.1626
Females PRE,M511,1.1017,0.6187
Females PRE,M511,1.1518,0.181
Females PRE,M511,1.2019,0.5967
Females PRE,M511,1.252,0.4158
Females PRE,M511,1.3021,0.1227
Females PRE,M511,1.3521,0.3428
Females PRE,M511,1.4022,0.3003
Females PRE,M511,1.4523,0.4421
Females PRE,M511,1.5024,0.07
Females PRE,M511,1.5525,0.1362
Females PRE,M511,1.6025,0.0551
Females PRE,M511,1.6526,0.067
Females PRE,M511,1.7027,0.2103
Females PRE,M511,1.7528,0.1389
Females PRE,M511,1.8029,0.4639
Females PRE,M511,1.8529,0.2018
Females PRE,M511,1.903,0.214
Females PRE,M511,1.9531,0.1083
Females PRE,M511,2.0032,0.4782
Females PRE,M511,2.0533,0.0728
Females PRE,M511,2.1033,0.0611
Females PRE,M511,2.1534,0.0188
Females PRE,M511,2.2035,0.0059
Females PRE,M511,2.2536,0.2559
Females PRE,M511,2.3037,0.1142
Females PRE,M511,2.3537,0.7855
Females PRE,M511,2.4038,0.1308
Females PRE,M511,2.4539,0.5728
Females PRE,M511,2.504,0.1608
Females PRE,M511,2.554,0.6417
Females PRE,M511,2.6041,0.3435
Females PRE,M511,2.6542,0.0503
Females PRE,M511,2.7043,0.5341
Females PRE,M511,2.7544,0.066
Females PRE,M511,2.8044,0.1396
Females PRE,M511,2.8545,0.0627
Females PRE,M511,2.9046,0.0106
Females PRE,M511,2.9547,0.2233
Females PRE,M511,3.0048,0.3734
Females PRE,M511,3.0548,0.0408
Females PRE,M511,3.1049,0.0311
Females PRE,M511,3.155,0.2284
Females PRE,M511,3.2051,0.1575
Females PRE,M511,3.2552,0.3276
Females PRE,M511,3.3052,0.38
Females PRE,M511,3.3553,0.0502
Females PRE,M511,3.4054,0.2689
Females PRE,M511,3.4555,0.1069
Females PRE,M511,3.5056,0.1198
Females PRE,M511,3.5556,0.2614
Females PRE,M511,3.6057,0.3944
Females PRE,M511,3.6558,0.1347
Females PRE,M511,3.7059,0.5721
Females PRE,M511,3.756,0.0144
Females PRE,M511,3.806,0.3538
Females PRE,M511,3.8561,0.0582
Females PRE,M511,3.9062,0.0037
Females PRE,M511,3.9563,0.0814
Females PRE,M511,4.0064,0.0098
Females PRE,M511,4.0564,0.0782
Females PRE,M511,4.1065,0.3571
Females PRE,M511,4.1566,0.1004
Females PRE,M511,4.2067,0.1739
Females PRE,M511,4.2567,0.1849
Females PRE,M511,4.3068,0.1922
Females PRE,M511,4.3569,0.2235
Females PRE,M511,4.407,0.1329
Females PRE,M511,4.4571,0.189
Females PRE,M511,4.5071,0.6419
Females PRE,M511,4.5572,0.0427
Females PRE,M511,4.6073,0.0712
Females PRE,M511,4.6574,0.122
Females PRE,M511,4.7075,0.0724
Females PRE,M511,4.7575,0.0873
Females PRE,M511,4.8076,0.072
Females PRE,M511,4.8577,0.1691
Females PRE,M511,4.9078,0.0646
Females PRE,M511,4.9579,0.3985
Females PRE,M512,0.0501,0.2255
Females PRE,M512,0.1002,0.5294
Females PRE,M512,0.1502,0.5542
Females PRE,M512,0.2003,0.3556
Females PRE,M512,0.2504,0.0296
Females PRE,M512,0.3005,0.2059
Females PRE,M512,0.3506,0.613
Females PRE,M512,0.4006,0.4717
Females PRE,M512,0.4507,0.5575
Females PRE,M512,0.5008,0.8875
Females PRE,M512,0.5509,0.605
Females PRE,M512,0.601,0.3358
Females PRE,M512,0.651,0.3142
Females PRE,M512,0.7011,0.5219
Females PRE,M512,0.7512,0.65
Females PRE,M512,0.8013,0.4927
Females PRE,M512,0.8513,0.3158
Females PRE,M512,0.9014,0.2507
Females PRE,M512,0.9515,0.1658
Females PRE,M512,1.0016,0.3281
Females PRE,M512,1.0517,0.6237
Females PRE,M512,1.1017,0.6672
Females PRE,M512,1.1518,0.1696
Females PRE,M512,1.2019,0.2292
Females PRE,M512,1.252,0.3406
Females PRE,M512,1.3021,0.4484
Females PRE,M512,1.3521,0.1329
Females PRE,M512,1.4022,0.1586
Females PRE,M512,1.4523,0.1435
Females PRE,M512,1.5024,0.1426
Females PRE,M512,1.5525,0.2747
Females PRE,M512,1.6025,0.0859
Females PRE,M512,1.6526,0.0595
Females PRE,M512,1.7027,0.5931
Females PRE,M512,1.7528,0.6287
Females PRE,M512,1.8029,0.3834
Females PRE,M512,1.8529,0.198
Females PRE,M512,1.903,0.4126
Females PRE,M512,1.9531,0.6252
Females PRE,M512,2.0032,0.3037
Females PRE,M512,2.0533,0.0697
Females PRE,M512,2.1033,0.0738
Females PRE,M512,2.1534,0.1192
Females PRE,M512,2.2035,0.0784
Females PRE,M512,2.2536,0.4941
Females PRE,M512,2.3037,0.0869
Females PRE,M512,2.3537,0.4627
Females PRE,M512,2.4038,0.1536
Females PRE,M512,2.4539,0.4344
Females PRE,M512,2.504,0.1419
Females PRE,M512,2.554,0.0695
Females PRE,M512,2.6041,0.1574
Females PRE,M512,2.6542,0.4246
Females PRE,M512,2.7043,0.0583
Females PRE,M512,2.7544,0.1606
Females PRE,M512,2.8044,0.0553
Females PRE,M512,2.8545,0.1868
Females PRE,M512,2.9046,0.1046
Females PRE,M512,2.9547,0.0512
Females PRE,M512,3.0048,0.1928
Females PRE,M512,3.0548,0.2314
Females PRE,M512,3.1049,0.1488
Females PRE,M512,3.155,0.3335
Females PRE,M512,3.2051,0.6763
Females PRE,M512,3.2552,0.4551
Females PRE,M512,3.3052,0.1606
Females PRE,M512,3.3553,0.0328
Females PRE,M512,3.4054,0.2357
Females PRE,M512,3.4555,0.1637
Females PRE,M512,3.5056,0.008
Females PRE,M512,3.5556,0.1493
Females PRE,M512,3.6057,0.1001
Females PRE,M512,3.6558,0.0126
Females PRE,M512,3.7059,0.661
Females PRE,M512,3.756,0.0028
Females PRE,M512,3.806,0.3469
Females PRE,M512,3.8561,0.2786
Females PRE,M512,3.9062,0.2494
Females PRE,M512,3.9563,0.3218
Females PRE,M512,4.0064,0.0592
Females PRE,M512,4.0564,0.3024
Females PRE,M512,4.1065,0.0218
Females PRE,M512,4.1566,0.0605
Females PRE,M512,4.2067,0.0939
Females PRE,M512,4.2567,0.1189
Females PRE,M512,4.3068,0.0368
Females PRE,M512,4.3569,0.0688
Females PRE,M512,4.407,0.1741
Females PRE,M512,4.4571,0.0965
Females PRE,M512,4.5071,0.0656
Females PRE,M512,4.5572,0.1996
Females PRE,M512,4.6073,0.1555
Females PRE,M512,4.6574,0.405
Females PRE,M512,4.7075,0.4187
Females PRE,M512,4.7575,0.258
Females PRE,M512,4.8076,0.175
Females PRE,M512,4.8577,0.1136
Females PRE,M512,4.9078,0.2018
Females PRE,M512,4.9579,0.1661
Females PRE,M513,0.0501,0.6377
Females PRE,M513,0.1002,0.2361
Females PRE,M513,0.1502,0.1862
Females PRE,M513,0.2003,0.4882
Females PRE,M513,0.2504,0.4899
Females PRE,M513,0.3005,0.312
Females PRE,M513,0.3506,0.3076
Females PRE,M513,0.4006,0.4305
Females PRE,M513,0.4507,0.4991
Females PRE,M513,0.5008,0.8009
Females PRE,M513,0.5509,0.6947
Females PRE,M513,0.601,0.0834
Females PRE,M513,0.651,0.4238
Females PRE,M513,0.7011,0.7759
Females PRE,M513,0.7512,0.5926
Females PRE,M513,0.8013,0.5059
Females PRE,M513,0.8513,0.4377
Females PRE,M513,0.9014,0.4581
Females PRE,M513,0.9515,0.8214
Females PRE,M513,1.0016,0.2279
Females PRE,M513,1.0517,0.209
Females PRE,M513,1.1017,0.3394
Females PRE,M513,1.1518,0.1152
Females PRE,M513,1.2019,0.0654
Females PRE,M513,1.252,0.0822
Females PRE,M513,1.3021,0.271
Females PRE,M513,1.3521,0.1568
Females PRE,M513,1.4022,0.0934
Females PRE,M513,1.4523,0.1677
Females PRE,M513,1.5024,0.0841
Females PRE,M513,1.5525,0.3877
Females PRE,M513,1.6025,0.4312
Females PRE,M513,1.6526,0.3192
Females PRE,M513,1.7027,0.0914
Females PRE,M513,1.7528,0.2364
Females PRE,M513,1.8029,0.2518
Females PRE,M513,1.8529,0.2839
Females PRE,M513,1.903,0.3679
Females PRE,M513,1.9531,0.3231
Females PRE,M513,2.0032,0.5574
Females PRE,M513,2.0533,0.1287
Females PRE,M513,2.1033,0.3501
Females PRE,M513,2.1534,0.7841
Females PRE,M513,2.2035,0.437
Females PRE,M513,2.2536,0.1444
Females PRE,M513,2.3037,0.0693
Females PRE,M513,2.3537,0.1313
Females PRE,M513,2.4038,0.0514
Females PRE,M513,2.4539,0.0441
Females PRE,M513,2.504,0.0331
Females PRE,M513,2.554,0.2731
Females PRE,M513,2.6041,0.0485
Females PRE,M513,2.6542,0.2177
Females PRE,M513,2.7043,0.1414
Females PRE,M513,2.7544,0.2083
Females PRE,M513,2.8044,0.029
Females PRE,M513,2.8545,0.6346
Females PRE,M513,2.9046,0.7899
Females PRE,M513,2.9547,0.5716
Females PRE,M513,3.0048,0.4676
Females PRE,M513,3.0548,0.2336
Females PRE,M513,3.1049,0.1844
Females PRE,M513,3.155,0.1865
Females PRE,M513,3.2051,0.274
Females PRE,M513,3.2552,0.0533
Females PRE,M513,3.3052,0.0835
Females PRE,M513,3.3553,0.2015
Females PRE,M513,3.4054,0.2318
Females PRE,M513,3.4555,0.3139
Females PRE,M513,3.5056,0.7714
Females PRE,M513,3.5556,0.1579
Females PRE,M513,3.6057,0.0477
Females PRE,M513,3.6558,0.1077
Females PRE,M513,3.7059,0.0738
Females PRE,M513,3.756,0.1132
Females PRE,M513,3.806,0.6023
Females PRE,M513,3.8561,0.1083
Females PRE,M513,3.9062,0.2627
Females PRE,M513,3.9563,0.3585
Females PRE,M513,4.0064,0.1079
Females PRE,M513,4.0564,0.1711
Females PRE,M513,4.1065,0.1153
Females PRE,M513,4.1566,0.1766
Females PRE,M513,4.2067,0.2018
Females PRE,M513,4.2567,0.0428
Females PRE,M513,4.3068,0.0418
Females PRE,M513,4.3569,0.1648
Females PRE,M513,4.407,0.6051
Females PRE,M513,4.4571,0.2282
Females PRE,M513,4.5071,0.2547
Females PRE,M513,4.5572,0.5597
Females PRE,M513,4.6073,0.0951
Females PRE,M513,4.6574,0.0073
Females PRE,M513,4.7075,0.164
Females PRE,M513,4.7575,0.3167
Females PRE,M513,4.8076,0.6456
Females PRE,M513,4.8577,0.4189
Females PRE,M513,4.9078,0.1239
Females PRE,M513,4.9579,0.2258
Females PRE,M520,0.0501,0.0199
Females PRE,M520,0.1002,0.3161
Females PRE,M520,0.1502,0.5871
Females PRE,M520,0.2003,0.3028
Females PRE,M520,0.2504,0.1256
Females PRE,M520,0.3005,0.1159
Females PRE,M520,0.3506,0.0634
Females PRE,M520,0.4006,0.0181
Females PRE,M520,0.4507,0.1264
Females PRE,M520,0.5008,0.1556
Females PRE,M520,0.5509,0.2821
Females PRE,M520,0.601,0.5494
Females PRE,M520,0.651,0.3553
Females PRE,M520,0.7011,0.1522
Females PRE,M520,0.7512,0.0668
Females PRE,M520,0.8013,0.1095
Females PRE,M520,0.8513,0.1119
Females PRE,M520,0.9014,0.1526
Females PRE,M520,0.9515,0.3077
Females PRE,M520,1.0016,0.0475
Females PRE,M520,1.0517,0.1644
Females PRE,M520,1.1017,0.0208
Females PRE,M520,1.1518,0.1669
Females PRE,M520,1.2019,0.0158
Females PRE,M520,1.252,0.1083
Females PRE,M520,1.3021,0.2577
Females PRE,M520,1.3521,0.0571
Females PRE,M520,1.4022,0.2026
Females PRE,M520,1.4523,0.2134
Females PRE,M520,1.5024,0.2113
Females PRE,M520,1.5525,0.1466
Females PRE,M520,1.6025,0.067
Females PRE,M520,1.6526,0.1287
Females PRE,M520,1.7027,0.2476
Females PRE,M520,1.7528,0.2133
Females PRE,M520,1.8029,0.065
Females PRE,M520,1.8529,0.3591
Females PRE,M520,1.903,0.2468
Females PRE,M520,1.9531,0.0725
Females PRE,M520,2.0032,0.2966
Females PRE,M520,2.0533,0.253
Females PRE,M520,2.1033,0.343
Females PRE,M520,2.1534,0.1513
Females PRE,M520,2.2035,0.0279
Females PRE,M520,2.2536,0.1942
Females PRE,M520,2.3037,0.2793
Females PRE,M520,2.3537,0.0526
Females PRE,M520,2.4038,0.4055
Females PRE,M520,2.4539,0.2801
Females PRE,M520,2.504,0.4121
Females PRE,M520,2.554,0.1746
Females PRE,M520,2.6041,0.2523
Females PRE,M520,2.6542,0.2789
Females PRE,M520,2.7043,0.0371
Females PRE,M520,2.7544,0.1698
Females PRE,M520,2.8044,0.1092
Females PRE,M520,2.8545,0.2221
Females PRE,M520,2.9046,0.1593
Females PRE,M520,2.9547,0.2535
Females PRE,M520,3.0048,0.4963
Females PRE,M520,3.0548,0.2837
Females PRE,M520,3.1049,0.1509
Females PRE,M520,3.155,0.4502
Females PRE,M520,3.2051,0.0805
Females PRE,M520,3.2552,0.074
Females PRE,M520,3.3052,0.3557
Females PRE,M520,3.3553,0.1671
Females PRE,M520,3.4054,0.3223
Females PRE,M520,3.4555,0.0552
Females PRE,M520,3.5056,0.2398
Females PRE,M520,3.5556,0.433
Females PRE,M520,3.6057,0.4398
Females PRE,M520,3.6558,0.111
Females PRE,M520,3.7059,0.036
Females PRE,M520,3.756,0.0772
Females PRE,M520,3.806,0.0979
Females PRE,M520,3.8561,0.2574
Females PRE,M520,3.9062,0.5022
Females PRE,M520,3.9563,0.5287
Females PRE,M520,4.0064,0.0586
Females PRE,M520,4.0564,0.0391
Females PRE,M520,4.1065,0.0879
Females PRE,M520,4.1566,0.1958
Females PRE,M520,4.2067,0.041
Females PRE,M520,4.2567,0.2416
Females PRE,M520,4.3068,0.0528
Females PRE,M520,4.3569,0.1609
Females PRE,M520,4.407,0.0255
Females PRE,M520,4.4571,0.3678
Females PRE,M520,4.5071,0.2812
Females PRE,M520,4.5572,0.2855
Females PRE,M520,4.6073,0.2193
Females PRE,M520,4.6574,0.1692
Females PRE,M520,4.7075,0.068
Females PRE,M520,4.7575,0.2699
Females PRE,M520,4.8076,0.3282
Females PRE,M520,4.8577,0.282
Females PRE,M520,4.9078,0.16
Females PRE,M520,4.9579,0.0827
Females POST,M509,0.0501,0.3721
Females POST,M509,0.1002,0.1535
Females POST,M509,0.1502,0.2261
Females POST,M509,0.2003,0.0016
Females POST,M509,0.2504,0.0559
Females POST,M509,0.3005,0.15
Females POST,M509,0.3506,0.2232
Females POST,M509,0.4006,0.5436
Females POST,M509,0.4507,0.4553
Females POST,M509,0.5008,0.4382
Females POST,M509,0.5509,0.4266
Females POST,M509,0.601,0.7066
Females POST,M509,0.651,0.3021
Females POST,M509,0.7011,0.548
Females POST,M509,0.7512,0.5152
Females POST,M509,0.8013,0.1488
Females POST,M509,0.8513,0.4142
Females POST,M509,0.9014,0.2559
Females POST,M509,0.9515,0.1752
Females POST,M509,1.0016,0.6303
Females POST,M509,1.0517,0.3169
Females POST,M509,1.1017,0.0438
Females POST,M509,1.1518,0.7481
Females POST,M509,1.2019,0.5076
Females POST,M509,1.252,0.2536
Females POST,M509,1.3021,0.0926
Females POST,M509,1.3521,0.0399
