Group,Subject,Frequency (Hz),Coherence
Males PRE,M504,2.4539,0.0125
Males PRE,M504,2.504,0.0143
Males PRE,M504,2.554,0.1376
Males PRE,M504,2.6041,0.0985
Males PRE,M504,2.6542,0.0094
Males PRE,M504,2.7043,0.0695
Males PRE,M504,2.7544,0.153
Males PRE,M504,2.8044,0.0624
Males PRE,M504,2.8545,0.241
Males PRE,M504,2.9046,0.099
Males PRE,M504,2.9547,0.0226
Males PRE,M504,3.0048,0.1176
Males PRE,M504,3.0548,0.0491
Males PRE,M504,3.1049,0.1442
Males PRE,M504,3.155,0.2516
Males PRE,M504,3.2051,0.1746
Males PRE,M504,3.2552,0.0827
Males PRE,M504,3.3052,0.0064
Males PRE,M504,3.3553,0.2269
Males PRE,M504,3.4054,0.0982
Males PRE,M504,3.4555,0.3659
Males PRE,M504,3.5056,0.2816
Males PRE,M504,3.5556,0.0463
Males PRE,M504,3.6057,0.0438
Males PRE,M504,3.6558,0.3072
Males PRE,M504,3.7059,0.1154
Males PRE,M504,3.756,0.0013
Males PRE,M504,3.806,0.1075
Males PRE,M504,3.8561,0.354
Males PRE,M504,3.9062,0.0977
Males PRE,M504,3.9563,0.0174
Males PRE,M504,4.0064,0.0904
Males PRE,M504,4.0564,0.1974
Males PRE,M504,4.1065,0.0594
Males PRE,M504,4.1566,0.0333
Males PRE,M504,4.2067,0.3785
Males PRE,M504,4.2567,0.1245
Males PRE,M504,4.3068,0.4192
Males PRE,M504,4.3569,0.0596
Males PRE,M504,4.407,0.1904
Males PRE,M504,4.4571,0.1307
Males PRE,M504,4.5071,0.026
Males PRE,M504,4.5572,0.3555
Males PRE,M504,4.6073,0.4269
Males PRE,M504,4.6574,0.2177
Males PRE,M504,4.7075,0.3165
Males PRE,M504,4.7575,0.5999
Males PRE,M504,4.8076,0.1179
Males PRE,M504,4.8577,0.0629
Males PRE,M504,4.9078,0.0383
Males PRE,M504,4.9579,0.4511
Males PRE,M502,0.0501,0.5859
Males PRE,M502,0.1002,0.5922
Males PRE,M502,0.1502,0.6902
Males PRE,M502,0.2003,0.9217
Males PRE,M502,0.2504,0.6806
Males PRE,M502,0.3005,0.6525
Males PRE,M502,0.3506,0.7482
Males PRE,M502,0.4006,0.4903
Males PRE,M502,0.4507,0.4253
Males PRE,M502,0.5008,0.398
Males PRE,M502,0.5509,0.0915
Males PRE,M502,0.601,0.0748
Males PRE,M502,0.651,0.188
Males PRE,M502,0.7011,0.2783
Males PRE,M502,0.7512,0.5852
Males PRE,M502,0.8013,0.5447
Males PRE,M502,0.8513,0.0165
Males PRE,M502,0.9014,0.027
Males PRE,M502,0.9515,0.105
Males PRE,M502,1.0016,0.0145
Males PRE,M502,1.0517,0.0747
Males PRE,M502,1.1017,0.1793
Males PRE,M502,1.1518,0.3273
Males PRE,M502,1.2019,0.2609
Males PRE,M502,1.252,0.3984
Males PRE,M502,1.3021,0.1656
Males PRE,M502,1.3521,0.0836
Males PRE,M502,1.4022,0.1495
Males PRE,M502,1.4523,0.3696
Males PRE,M502,1.5024,0.2592
Males PRE,M502,1.5525,0.3731
Males PRE,M502,1.6025,0.1807
Males PRE,M502,1.6526,0.1145
Males PRE,M502,1.7027,0.5081
Males PRE,M502,1.7528,0.7094
Males PRE,M502,1.8029,0.3119
Males PRE,M502,1.8529,0.6055
Males PRE,M502,1.903,0.358
Males PRE,M502,1.9531,0.3278
Males PRE,M502,2.0032,0.2464
Males PRE,M502,2.0533,0.5371
Males PRE,M502,2.1033,0.4849
Males PRE,M502,2.1534,0.2366
Males PRE,M502,2.2035,0.4352
Males PRE,M502,2.2536,0.1933
Males PRE,M502,2.3037,0.3411
Males PRE,M502,2.3537,0.2356
Males PRE,M502,2.4038,0.159
Males PRE,M502,2.4539,0.5439
Males PRE,M502,2.504,0.025
Males PRE,M502,2.554,0.2151
Males PRE,M502,2.6041,0.0341
Males PRE,M502,2.6542,0.0307
Males PRE,M502,2.7043,0.4175
Males PRE,M502,2.7544,0.4178
Males PRE,M502,2.8044,0.1735
Males PRE,M502,2.8545,0.0613
Males PRE,M502,2.9046,0.3395
Males PRE,M502,2.9547,0.3424
Males PRE,M502,3.0048,0.4065
Males PRE,M502,3.0548,0.1384
Males PRE,M502,3.1049,0.2343
Males PRE,M502,3.155,0.4311
Males PRE,M502,3.2051,0.0989
Males PRE,M502,3.2552,0.0276
Males PRE,M502,3.3052,0.1083
Males PRE,M502,3.3553,0.1052
Males PRE,M502,3.4054,0.4817
Males PRE,M502,3.4555,0.53
Males PRE,M502,3.5056,0.0352
Males PRE,M502,3.5556,0.0419
Males PRE,M502,3.6057,0.068
Males PRE,M502,3.6558,0.0666
Males PRE,M502,3.7059,0.0996
Males PRE,M502,3.756,0.3496
Males PRE,M502,3.806,0.3643
Males PRE,M502,3.8561,0.0084
Males PRE,M502,3.9062,0.1433
Males PRE,M502,3.9563,0.0531
Males PRE,M502,4.0064,0.0461
Males PRE,M502,4.0564,0.2537
Males PRE,M502,4.1065,0.2544
Males PRE,M502,4.1566,0.1897
Males PRE,M502,4.2067,0.084
Males PRE,M502,4.2567,0.1991
Males PRE,M502,4.3068,0.0104
Males PRE,M502,4.3569,0.4568
Males PRE,M502,4.407,0.239
Males PRE,M502,4.4571,0.0657
Males PRE,M502,4.5071,0.2388
Males PRE,M502,4.5572,0.2485
Males PRE,M502,4.6073,0.2107
Males PRE,M502,4.6574,0.1546
Males PRE,M502,4.7075,0.0288
Males PRE,M502,4.7575,0.12
Males PRE,M502,4.8076,0.1312
Males PRE,M502,4.8577,0.018
Males PRE,M502,4.9078,0.3117
Males PRE,M502,4.9579,0.132
Males PRE,M505,0.0501,0.3736
Males PRE,M505,0.1002,0.2463
Males PRE,M505,0.1502,0.252
Males PRE,M505,0.2003,0.1969
Males PRE,M505,0.2504,0.1343
Males PRE,M505,0.3005,0.0975
Males PRE,M505,0.3506,0.1421
Males PRE,M505,0.4006,0.4742
Males PRE,M505,0.4507,0.1267
Males PRE,M505,0.5008,0.1467
Males PRE,M505,0.5509,0.1307
Males PRE,M505,0.601,0.191
Males PRE,M505,0.651,0.3827
Males PRE,M505,0.7011,0.1751
Males PRE,M505,0.7512,0.2316
Males PRE,M505,0.8013,0.6758
Males PRE,M505,0.8513,0.6511
Males PRE,M505,0.9014,0.0418
Males PRE,M505,0.9515,0.2395
Males PRE,M505,1.0016,0.1807
Males PRE,M505,1.0517,0.2636
Males PRE,M505,1.1017,0.1446
Males PRE,M505,1.1518,0.0039
Males PRE,M505,1.2019,0.2395
Males PRE,M505,1.252,0.1385
Males PRE,M505,1.3021,0.0415
Males PRE,M505,1.3521,0.1106
Males PRE,M505,1.4022,0.1969
Males PRE,M505,1.4523,0.1132
Males PRE,M505,1.5024,0.0041
Males PRE,M505,1.5525,0.1994
Males PRE,M505,1.6025,0.1052
Males PRE,M505,1.6526,0.4682
Males PRE,M505,1.7027,0.1892
Males PRE,M505,1.7528,0.1244
Males PRE,M505,1.8029,0.5709
Males PRE,M505,1.8529,0.3353
Males PRE,M505,1.903,0.1495
Males PRE,M505,1.9531,0.0129
Males PRE,M505,2.0032,0.2908
Males PRE,M505,2.0533,0.1064
Males PRE,M505,2.1033,0.3267
Males PRE,M505,2.1534,0.1897
Males PRE,M505,2.2035,0.1588
Males PRE,M505,2.2536,0.1771
Males PRE,M505,2.3037,0.1397
Males PRE,M505,2.3537,0.2024
Males PRE,M505,2.4038,0.245
Males PRE,M505,2.4539,0.2414
Males PRE,M505,2.504,0.0067
Males PRE,M505,2.554,0.0215
Males PRE,M505,2.6041,0.3173
Males PRE,M505,2.6542,0.0884
Males PRE,M505,2.7043,0.099
Males PRE,M505,2.7544,0.1227
Males PRE,M505,2.8044,0.1716
Males PRE,M505,2.8545,0.0756
Males PRE,M505,2.9046,0.0513
Males PRE,M505,2.9547,0.0116
Males PRE,M505,3.0048,0.1327
Males PRE,M505,3.0548,0.2751
Males PRE,M505,3.1049,0.0493
Males PRE,M505,3.155,0.109
Males PRE,M505,3.2051,0.0259
Males PRE,M505,3.2552,0.0148
Males PRE,M505,3.3052,0.2052
Males PRE,M505,3.3553,0.0492
Males PRE,M505,3.4054,0.081
Males PRE,M505,3.4555,0.0025
Males PRE,M505,3.5056,0.3542
Males PRE,M505,3.5556,0.3513
Males PRE,M505,3.6057,0.0444
Males PRE,M505,3.6558,0.0177
Males PRE,M505,3.7059,0.1587
Males PRE,M505,3.756,0.0717
Males PRE,M505,3.806,0.1556
Males PRE,M505,3.8561,0.3164
Males PRE,M505,3.9062,0.3232
Males PRE,M505,3.9563,0.1943
Males PRE,M505,4.0064,0.021
Males PRE,M505,4.0564,0.017
Males PRE,M505,4.1065,0.0148
Males PRE,M505,4.1566,0.1577
Males PRE,M505,4.2067,0.0232
Males PRE,M505,4.2567,0.027
Males PRE,M505,4.3068,0.0239
Males PRE,M505,4.3569,0.01
Males PRE,M505,4.407,0.1057
Males PRE,M505,4.4571,0.038
Males PRE,M505,4.5071,0.2475
Males PRE,M505,4.5572,0.2384
Males PRE,M505,4.6073,0.3713
Males PRE,M505,4.6574,0.2044
Males PRE,M505,4.7075,0.0377
Males PRE,M505,4.7575,0.5262
Males PRE,M505,4.8076,0.2261
Males PRE,M505,4.8577,0.3578
Males PRE,M505,4.9078,0.0033
Males PRE,M505,4.9579,0.0448
Males PRE,M506,0.0501,0.784
Males PRE,M506,0.1002,0.6065
Males PRE,M506,0.1502,0.47
Males PRE,M506,0.2003,0.5067
Males PRE,M506,0.2504,0.6958
Males PRE,M506,0.3005,0.7614
Males PRE,M506,0.3506,0.8142
Males PRE,M506,0.4006,0.7235
Males PRE,M506,0.4507,0.475
Males PRE,M506,0.5008,0.5097
Males PRE,M506,0.5509,0.1191
Males PRE,M506,0.601,0.2105
Males PRE,M506,0.651,0.3564
Males PRE,M506,0.7011,0.5664
Males PRE,M506,0.7512,0.68
Males PRE,M506,0.8013,0.7327
Males PRE,M506,0.8513,0.6496
Males PRE,M506,0.9014,0.6898
Males PRE,M506,0.9515,0.8395
Males PRE,M506,1.0016,0.6147
Males PRE,M506,1.0517,0.3823
Males PRE,M506,1.1017,0.0967
Males PRE,M506,1.1518,0.4222
Males PRE,M506,1.2019,0.4542
Males PRE,M506,1.252,0.3982
Males PRE,M506,1.3021,0.5262
Males PRE,M506,1.3521,0.5306
Males PRE,M506,1.4022,0.2518
Males PRE,M506,1.4523,0.2781
Males PRE,M506,1.5024,0.0921
Males PRE,M506,1.5525,0.1025
Males PRE,M506,1.6025,0.2102
Males PRE,M506,1.6526,0.7891
Males PRE,M506,1.7027,0.5411
Males PRE,M506,1.7528,0.409
Males PRE,M506,1.8029,0.2565
Males PRE,M506,1.8529,0.3927
Males PRE,M506,1.903,0.4897
Males PRE,M506,1.9531,0.4838
Males PRE,M506,2.0032,0.1684
Males PRE,M506,2.0533,0.0685
Males PRE,M506,2.1033,0.101
Males PRE,M506,2.1534,0.0701
Males PRE,M506,2.2035,0.0055
Males PRE,M506,2.2536,0.2693
Males PRE,M506,2.3037,0.1203
Males PRE,M506,2.3537,0.1529
Males PRE,M506,2.4038,0.2213
Males PRE,M506,2.4539,0.0471
Males PRE,M506,2.504,0.0203
Males PRE,M506,2.554,0.1059
Males PRE,M506,2.6041,0.1472
Males PRE,M506,2.6542,0.1084
Males PRE,M506,2.7043,0.0052
Males PRE,M506,2.7544,0.0288
Males PRE,M506,2.8044,0.1143
Males PRE,M506,2.8545,0.4936
Males PRE,M506,2.9046,0.086
Males PRE,M506,2.9547,0.2161
Males PRE,M506,3.0048,0.5167
Males PRE,M506,3.0548,0.3566
Males PRE,M506,3.1049,0.2393
Males PRE,M506,3.155,0.1611
Males PRE,M506,3.2051,0.1601
Males PRE,M506,3.2552,0.1404
Males PRE,M506,3.3052,0.0805
Males PRE,M506,3.3553,0.1053
Males PRE,M506,3.4054,0.3804
Males PRE,M506,3.4555,0.2968
Males PRE,M506,3.5056,0.0521
Males PRE,M506,3.5556,0.2829
Males PRE,M506,3.6057,0.1852
Males PRE,M506,3.6558,0.0842
Males PRE,M506,3.7059,0.0269
Males PRE,M506,3.756,0.2252
Males PRE,M506,3.806,0.4954
Males PRE,M506,3.8561,0.3577
Males PRE,M506,3.9062,0.2994
Males PRE,M506,3.9563,0.0448
Males PRE,M506,4.0064,0.1599
Males PRE,M506,4.0564,0.3515
Males PRE,M506,4.1065,0.06
Males PRE,M506,4.1566,0.4853
Males PRE,M506,4.2067,0.6723
Males PRE,M506,4.2567,0.121
Males PRE,M506,4.3068,0.1406
Males PRE,M506,4.3569,0.312
Males PRE,M506,4.407,0.4232
Males PRE,M506,4.4571,0.1461
Males PRE,M506,4.5071,0.6977
Males PRE,M506,4.5572,0.2191
Males PRE,M506,4.6073,0.0419
Males PRE,M506,4.6574,0.0373
Males PRE,M506,4.7075,0.1841
Males PRE,M506,4.7575,0.1506
Males PRE,M506,4.8076,0.085
Males PRE,M506,4.8577,0.0066
Males PRE,M506,4.9078,0.0993
Males PRE,M506,4.9579,0.5183
Males POST,M503,0.0501,0.3116
Males POST,M503,0.1002,0.0787
Males POST,M503,0.1502,0.0412
Males POST,M503,0.2003,0.0164
Males POST,M503,0.2504,0.3205
Males POST,M503,0.3005,0.2987
Males POST,M503,0.3506,0.2356
Males POST,M503,0.4006,0.2049
Males POST,M503,0.4507,0.1802
Males POST,M503,0.5008,0.0598
Males POST,M503,0.5509,0.1591
Males POST,M503,0.601,0.3063
Males POST,M503,0.651,0.0682
Males POST,M503,0.7011,0.2485
Males POST,M503,0.7512,0.2504
Males POST,M503,0.8013,0.1329
Males POST,M503,0.8513,0.1458
Males POST,M503,0.9014,0.0213
Males POST,M503,0.9515,0.198
Males POST,M503,1.0016,0.0461
Males POST,M503,1.0517,0.016
Males POST,M503,1.1017,0.0992
Males POST,M503,1.1518,0.1535
Males POST,M503,1.2019,0.0734
Males POST,M503,1.252,0.0659
Males POST,M503,1.3021,0.0579
Males POST,M503,1.3521,0.0063
Males POST,M503,1.4022,0.0633
Males POST,M503,1.4523,0.0881
Males POST,M503,1.5024,0.2177
Males POST,M503,1.5525,0.1251
Males POST,M503,1.6025,0.0325
Males POST,M503,1.6526,0.0224
Males POST,M503,1.7027,0.0731
Males POST,M503,1.7528,0.4567
Males POST,M503,1.8029,0.0273
Males POST,M503,1.8529,0.1814
Males POST,M503,1.903,0.0037
Males POST,M503,1.9531,0.0725
Males POST,M503,2.0032,0.0061
Males POST,M503,2.0533,0.1996
Males POST,M503,2.1033,0.0226
Males POST,M503,2.1534,0.2462
Males POST,M503,2.2035,0.2317
Males POST,M503,2.2536,0.0902
Males POST,M503,2.3037,0.2301
Males POST,M503,2.3537,0.1576
Males POST,M503,2.4038,0.2144
Males POST,M503,2.4539,0.0319
Males POST,M503,2.504,0.0735
Males POST,M503,2.554,0.3287
Males POST,M503,2.6041,0.1839
Males POST,M503,2.6542,0.1916
Males POST,M503,2.7043,0.5383
Males POST,M503,2.7544,0.1822
Males POST,M503,2.8044,0.035
Males POST,M503,2.8545,0.0187
Males POST,M503,2.9046,0.0444
Males POST,M503,2.9547,0.1307
Males POST,M503,3.0048,0.1148
Males POST,M503,3.0548,0.3243
Males POST,M503,3.1049,0.0184
Males POST,M503,3.155,0.2071
Males POST,M503,3.2051,0.0713
Males POST,M503,3.2552,0.3841
Males POST,M503,3.3052,0.2062
Males POST,M503,3.3553,0.5247
Males POST,M503,3.4054,0.4631
Males POST,M503,3.4555,0.2347
Males POST,M503,3.5056,0.4769
Males POST,M503,3.5556,0.0924
Males POST,M503,3.6057,0.0066
Males POST,M503,3.6558,0.0107
Males POST,M503,3.7059,0.0133
Males POST,M503,3.756,0.0003
Males POST,M503,3.806,0.2736
Males POST,M503,3.8561,0.076
Males POST,M503,3.9062,0.1126
Males POST,M503,3.9563,0.4624
Males POST,M503,4.0064,0.2433
Males POST,M503,4.0564,0.0508
Males POST,M503,4.1065,0.1047
Males POST,M503,4.1566,0.2967
Males POST,M503,4.2067,0.1162
Males POST,M503,4.2567,0.3083
Males POST,M503,4.3068,0.0588
Males POST,M503,4.3569,0.0365
Males POST,M503,4.407,0.055
Males POST,M503,4.4571,0.3752
Males POST,M503,4.5071,0.3976
Males POST,M503,4.5572,0.3411
Males POST,M503,4.6073,0.1999
Males POST,M503,4.6574,0.0489
Males POST,M503,4.7075,0.1793
Males POST,M503,4.7575,0.1008
Males POST,M503,4.8076,0.0077
Males POST,M503,4.8577,0.3589
Males POST,M503,4.9078,0.3104
Males POST,M503,4.9579,0.3267
Males POST,M504,0.0501,0.7671
Males POST,M504,0.1002,0.481
Males POST,M504,0.1502,0.7921
Males POST,M504,0.2003,0.7387
Males POST,M504,0.2504,0.2287
Males POST,M504,0.3005,0.6176
Males POST,M504,0.3506,0.6556
Males POST,M504,0.4006,0.4251
Males POST,M504,0.4507,0.395
Males POST,M504,0.5008,0.3405
Males POST,M504,0.5509,0.2359
Males POST,M504,0.601,0.3163
Males POST,M504,0.651,0.4601
Males POST,M504,0.7011,0.3406
Males POST,M504,0.7512,0.4662
Males POST,M504,0.8013,0.1403
Males POST,M504,0.8513,0.0174
Males POST,M504,0.9014,0.1721
Males POST,M504,0.9515,0.1879
Males POST,M504,1.0016,0.5168
Males POST,M504,1.0517,0.0282
Males POST,M504,1.1017,0.055
Males POST,M504,1.1518,0.186
Males POST,M504,1.2019,0.251
Males POST,M504,1.252,0.5946
Males POST,M504,1.3021,0.2327
Males POST,M504,1.3521,0.2519
Males POST,M504,1.4022,0.1908
Males POST,M504,1.4523,0.0503
Males POST,M504,1.5024,0.0325
Males POST,M504,1.5525,0.4669
Males POST,M504,1.6025,0.3292
